Designator,MidX,MidY,Layer,Rotation
C1,143.49,-66.65,top,0
C2,145.52,-73.29,top,90
C3,145.46,-75.64,top,0
C4,145.46,-78.5,top,0
D1,132,-69.11,top,90
D2,132,-79.48,top,-90
D3,146.2,-62.37,top,90
J2,139,-62.79,top,180
J3,142.81,-87.4,top,-90
R1,132,-71.81,top,180
R2,132,-76.78,top,180
R3,146.2,-66.64,top,180
U1,139,-74.5,top,0
